date,puppet,community
2019-11-29,0,7
2019-11-30,0,4
2019-12-01,0,0
2019-12-02,1,3
2019-12-03,0,11
2019-12-04,0,3
2019-12-05,1,2
2019-12-06,0,73
2019-12-07,0,0
2019-12-08,0,0
2019-12-09,0,17
2019-12-10,0,15
2019-12-11,0,12
2019-12-12,0,2
2019-12-13,0,3
2019-12-14,0,0
2019-12-15,0,0
2019-12-16,42,2
2019-12-17,0,3
2019-12-18,0,57
2019-12-19,0,0
