week ending on,closed,commented,merged
2019-10-23,9,3,17
2019-10-30,13,1,57
2019-11-06,32,1,90
2019-11-13,6,2,69
2019-11-20,6,3,25
2019-11-27,0,0,4
2019-12-04,11,4,66
2019-12-11,13,4,90
2019-12-18,13,5,75
2019-12-25,28,1,36
